"x","y"
3759192.17475364,764517.059133407
3758033.39513676,764008.916977379
3798993.05914396,763879.560447134
3871676.07881425,765366.270253297
3831069.5220352,763709.85556121
3865987.77034113,763421.118410574
3882820.56487376,764190.123031469
3621884.33942925,762923.876703599
3808179.62525935,762826.068260099
3839708.31198231,762249.472684522
3857296.25130705,761940.648458844
3618954.36816149,761625.285258726
3629918.19867127,761283.994085449
3618541.48450311,761085.725609758
3631254.88603177,760630.231141788
3645690.02105862,760230.738752027
3842734.98435399,760477.202046789
3908279.42912982,760072.525674367
3757681.21275053,759756.342578867
3879220.38041795,759452.719523433
3831456.54448161,759014.166042205
3882202.11169769,758553.878095291
3687822.26918138,758201.675796287
3609746.37003658,756718.881855183
3643356.1709345,757620.565394962
3840123.8234319,756765.760942468
3840031.47997397,756730.016512074
3741674.18747568,755760.464849857
3791625.81679067,756003.440609827
3606902.50244852,755518.49958312
